2022-05-24/13:07:21		Data Transformation failed because:: name 'goodpath' is not defined
2022-05-24/13:20:41		creditCardFraud_28011963_120213.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011964_120214.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011965_120215.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011966_120216.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011967_120217.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011968_120218.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011969_120219.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011970_120220.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011971_120221.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011972_120222.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011973_120223.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011974_120224.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011975_120225.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011976_120226.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011977_120227.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011978_120228.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:41		creditCardFraud_28011979_120229.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:42		creditCardFraud_28011980_120230.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:42		creditCardFraud_28011981_120231.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:42		creditCardFraud_28011982_120232.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:42		creditCardFraud_28011983_120233.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:42		creditCardFraud_28011984_120234.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:42		creditCardFraud_28011985_120235.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:42		creditCardFraud_28011986_120236.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:42		creditCardFraud_28011987_120237.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:42		creditCardFraud_28011988_120238.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:42		creditCardFraud_28011989_120239.csv: missing replaced with 'NULL' successfully
2022-05-24/13:20:42		creditCardFraud_28011990_120240.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011960_120210.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011961_120211.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011962_120212.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011963_120213.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011964_120214.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011965_120215.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011966_120216.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011967_120217.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011968_120218.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011969_120219.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011970_120220.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011971_120221.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011972_120222.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011973_120223.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011974_120224.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011975_120225.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011976_120226.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011977_120227.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011978_120228.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011979_120229.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011980_120230.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011981_120231.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011982_120232.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011983_120233.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011984_120234.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011985_120235.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011986_120236.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011987_120237.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011988_120238.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011989_120239.csv: missing replaced with 'NULL' successfully
2022-05-24/13:24:35		creditCardFraud_28011990_120240.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011960_120210.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011961_120211.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011962_120212.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011963_120213.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011964_120214.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011965_120215.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011966_120216.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011967_120217.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011968_120218.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011969_120219.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011970_120220.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011971_120221.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011972_120222.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011973_120223.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011974_120224.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011975_120225.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011976_120226.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011977_120227.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011978_120228.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011979_120229.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011980_120230.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011981_120231.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011982_120232.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:06		creditCardFraud_28011983_120233.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:07		creditCardFraud_28011984_120234.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:07		creditCardFraud_28011985_120235.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:07		creditCardFraud_28011986_120236.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:07		creditCardFraud_28011987_120237.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:07		creditCardFraud_28011988_120238.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:07		creditCardFraud_28011989_120239.csv: missing replaced with 'NULL' successfully
2022-05-24/13:33:07		creditCardFraud_28011990_120240.csv: missing replaced with 'NULL' successfully
